Division_ID,ID,Name
1,424,Ahmednagar
2,425,Akola
2,426,Amravati
3,427,Aurangabad
3,428,Beed
4,429,Bhandara
2,430,Buldhana
4,431,Chandrapur
1,432,Dhule
4,433,Gadchiroli
4,434,Gondia
3,435,Hingoli
1,436,Jalgaon
3,437,Jalna
5,438,Kolhapur
3,439,Latur
4,440,Nagpur
3,441,Nanded
1,442,Nandurbar
1,443,Nashik
3,444,Osmanabad
3,445,Parbhani
5,446,Pune
6,447,Raigad
6,448,Ratnagiri
5,449,Sangli
5,450,Satara
6,451,Sindhudurg
5,452,Solapur
6,453,Thane
4,454,Wardha
2,455,Washim
2,456,Yavatmal
6,261449,Palghar
